#TAG,package name || git url,PURPOSE,
A,awesome-git,is a powerfull tilling window manager.,
A,colorz,is a backend for wpgtk (set colors from wallpaper).,
A,compton-tryone-git,"is a window composer (enables transparency, shadows etc.)",
A,dart-sass,compiles SCSS (SASS) files to CSS.,
A,escrotum-git,allows you to do screenshots.,
A,font-manager,is a GUI font manager.,
A,gotop,shows usage of hardware and top processes.,
A,python-colorthief,is a backend for wpgtk (set colors from wallpaper).,
A,sc-im,is a vim-like spreadsheet.,
A,spotify,is a player that streams music.,
A,st-luke-git,is a Simple Terminal forked by Luke Smith.,
A,wpgtk-git,grabs colors from wallpaper and sets new color schemes for terminal and GTK.,
A,readline-athame-git,- Athame allows using vim in bash prompt (check for safest version[!]),
P,colorthief,is a backend for wpgtk (set colors from wallpaper).,
P,colorz,is a backend for wpgtk (set colors from wallpaper).,
P,haishoku,is a backend for wpgtk (set colors from wallpaper).,
P,pywal,is a backend for wpgtk (set colors from wallpaper).,
P,wpgtk,grabs colors from wallpaper and sets new color schemes for terminal and GTK.,
,acpi,shows battery consumption and level.,
,acpid,"supports ACPI events, such as pressed power button.",
,bash-completion,- tab completion for bash.,
,calibre,is a EBOOK manager and converter.,
,dhcpd,is a dhcp server.,
,dmenu,is a simple I\O menu.,
,dnsmasq,ia a lightweight DHCP and caching DNS server.,
,fasd,keeps track of files and directories you access in your shell,
,fff,fucking fast filemanager.,
,figlet,creates ASCII banners.,
,firefox,- open-source web browser.,
,gimp,is a graphic editor.,
,gpick,is for getting color code from a whole screen.,
,hdparm,manages HDD settings.,
,htop,is a process manager.,
,inkscape,is a vector graphic editor.,
,ipython,- interactive python prompt.,
,lftp,- good and stable FTP cli client.,
,libreoffice-fresh,- office software package.,
,lxappearance,- GTK+ colors|icons|themes switcher.,
,lxsession,is a X session manager.,
,man,- manual pages tool.,
,man-db,- manual pages tool.,
,man-pages,- manual pages tool.,
,nemo,is GUI file manager.,
,neofetch,shows system info.,
,nerd-fonts,a package of cool fonts.,
,ntfs-3g,is a driver to support the NTFS file system.,
,numlockx,- sets numlock key enable.,
,pandoc-citeproc,is a powerfull document converter.,
,python,is a standard interpreter for Python.,
,python-pip,is a python package manager.,
,python-virtualenv,creates virtual enviroments for python.,
,r,a language for data analysis and graphics.,
,ranger,is a powerfull CLI file manager.,
,slock,- simple system locker.,
,source-code-pro,,
,sxiv,vim-like simple image viewer.,
,texinfo,is a software documentation system.,
,the_silver_searcher,searcher like grep or ack but faster.,
,tmux,tiles terminal widow.,
,vi,is a terminal text editor.,
,vlc,is a powerfull media player.,
,w3m,is a termianl web browser with image support.,
,xarchiver,is a GUI archive manager.,
,xdg-user-dirs,"creates user dirs (like Document, Music etc.)",
,zathura-pdf-mupdf,is a minimalistic pdf viewer.,
